歌名,专辑名,歌词,演唱,作词,作曲,编曲,分享数,评论数
我已经敢想你MVCourage To Remember You,今日营业中,"
				两个人的公园我独自散步 单纯在欣赏植物
耳机里的音乐只剩下音符 不再是感情遗嘱

看不出 这条路 曾走到荒芜
摸不出 这条疤 曾血肉模糊

我已经 有勇气听到你消息
不害怕别人说 有你的话题
甚至 我已经 和回忆和平在一起
不刻骨不铭心 不强迫忘记
我已经敢想你

挑战在我露台悬挂你衣服 心情不准有起伏
找出过去幸福合照再目睹 训练自己变麻木

要舒服 有时候 得选择屈服
要回顾 有时候 得换个角度

爱对了 爱错了 都变成经过
终于 学会了 敢去 想你了

曲 Composed by：丁世光 Dean T  词 Lyrics by：陈信延
制作人 Producer : 林宥嘉 Yoga Lin、陈建良 Eric Chen
编曲 Arranger : 林宥嘉 Yoga Lin、丁世光 Dean T、许郁瑛 YuYing Hsu、徐梵 Fan Hsu、赖圣文 Peter Lai、长冈亮介 NAGAOKA RYOSUKE (PETROLZ)
和声、和声编写 Chorus & Chorus Arranger：林宥嘉 Yoga Lin
钢琴 Piano : 许郁瑛 YuYing Hsu
贝斯 Bass：徐梵 Fan Hsu
鼓 Drums：赖圣文Peter Lai?
吉他 Guitar：长冈亮介 NAGAOKA RYOSUKE (PETROLZ)
录音师 Recording Engineer：余佳伦 Chia-Lun Yue & 郑皓文 Howard Tay at Lights Up studio Taipei、陈建良 Eric Chen & 苏贤纬 Lugia Su at Wonder studio Taipei
混音师 Mixing Engineer：渡辺省二郎 Shojiro Watanabe at GREENBIRD studio Tokyo
OP：NEW CHINESE SONGS PUBLISHING LTD.
OP：HIM Music Publishing Inc.
				",林宥嘉,陈信延,丁世光,林宥嘉 / 丁世光 / 许郁瑛 / 徐梵 / 赖圣文 / 长冈亮介,68226,6767
一点点MVTiny Part of You,今日营业中,"
				我在你看不见的宇宙
或前或后 任何星球
引力遥远的太空

可是我始终在你左右
你的山巅 你的湖泊
大气云层在飘动

你的每个瞬间 不想错过
像是亦步亦趋 才算活过

?一点点 想象你的脸
?一双眼 看见了谁 变成了谁
一点点 失去你的脸
是因为 想成为谁 都不像谁

你是谁

偷偷装满着你的一切
反复咀嚼 也是喜悦
幸福是具体而微

我想我不会让你知道
不知道就 不算遗忘
伤也是享受的伤

有时遥不可及 才是追求
有时近在身边 反而不懂

?一点点 想象你的脸
?一双眼 看见了谁 变成了谁
一点点 失去你的脸
是因为 想成为谁 都不像谁

你是谁 学不会 忘记谁

?一点点 想象你的脸
?一双眼 看见了谁 变成了谁
一点点 失去你的脸
是因为 想成为谁 都不像谁
想到谁 就是谁

曲 Composed by：林宥嘉 Yoga Lin  词 Lyrics by：吴青峰
制作人 Producer：陈珊妮
编曲 Arranger：陈珊妮
吉他 Guitar：徐研培
贝斯 Bass：程杰
钢琴、电钢琴 Piano& Rhodes piano：李艾璇
和声编写 Chorus Arranger ：陈珊妮、林宥嘉 Yoga Lin
和声演唱 Chorus：林宥嘉 Yoga Lin
录音 Recording Engineer ：陈文骏（强力录音室）
混音 Mixing Engineer：陈文骏（强力录音室）
OP：HIM Music Publishing Inc.
OP：林暐哲音乐社有限公司
SP：Universal Ms Publ Ltd Taiwan
				",林宥嘉,吴青峰,林宥嘉,陈珊妮,17962,2756
飞MVFlight,今日营业中,"
				哪个朋友还没笑过我的梦
哪一种安慰 不会让我更痛
还有多少关于放弃的理由
能理直气壮 背后没有惶恐

这个世界不缺伟大和成功
而我的世界也不怕失败者
何不让我追求 我的快乐

还没学会飞~天那么蔚蓝
为何迎面的风对我一直牵绊
我笨拙地飞~ 
是很怕孤单
却怕收起翅膀会更遗憾
哪种生活可以永远很轻松
哪一种安稳 没有暗藏漩涡
还有多少道理我没有听过
而我的执着 谁又真的听懂

这个世界不缺理智和成熟
而我的世界也不怕太自由
何不让我追求 我的快乐

云端有没有传说的那样绚烂
都让我很想去看看

何时学会飞~
天正蔚蓝
就让迎面的风把疑惑都吹散
仍笨拙地飞
不回头 不害怕 不介意孤单
谁不是独自去寻找未来
谁不是独自去学会勇敢
我会记得沿途有多精彩

曲 Composed by：林家谦  词 Lyrics by：蓝小邪、林家谦
制作人 Producer：黄中岳、林宥嘉 Yoga Lin
编曲 Arranger、吉他 Guitar：樊哲忠
录音师 Recording Engineer：许财翁
录音室 Recording Studio：浩世录音室
人声处理：黄浩伦
混音录音室、混音师：Wooji Studio、黄文萱 Ziya Huang
OP: LYFE Company Ltd. (Warner/Chappell Music, HK Ltd.)
SP: Warner/Chappell Music Taiwan Ltd.
OP：HIM Music Publishing Inc.
OP: LYFE Company Ltd. (Warner/Chappell Music, HK Ltd.)
SP: Warner/Chappell Music Taiwan Ltd.
				",林宥嘉,蓝小邪 / 林家谦,林家谦,樊哲忠,15789,2326
我梦见你梦见我MV电视剧《飞鱼高校生》插曲 / A Dream Where You Dreamt of Me,今日营业中,"
				那时候 只有你陪我一起往前冲
有时候 受了伤反而觉得更快活
我们破风飞行 奔驰海阔天空
不在乎 ?把世界抛到脑后
对人生 我有太多困惑
但确定 我有个永远的 朋友

往前走 ?一个人走上人生的钢索
回过头 怎么会失去了你的线索
来不及说再见?? 从此各自漂流
为什么 把过去丢向黑洞
常想着 你现在的生活
是不是 已经和你要的 相同

我梦见你也梦见我?
告诉我思念的寂寞
就在多年以后 那泛泪的笑容
让回忆里的你 再复活

我梦见你也梦见我
当你也觉得很失落
就在梦醒以后 谢谢你来过
留给我生命中最美的??感动

往前走 ?一个人走上人生的钢索
回过头 怎么会失去了你的线索
来不及说再见? 从此各自漂流
为什么 把过去丢向黑洞
常想着 你现在的生活
是不是 和你要的 相同

我梦见你也梦见我
告诉我思念的寂寞
就在多年以后 那泛泪的笑容
让回忆里的你 再复活

我梦见你也梦见我
当你也觉得很失落
就在梦醒以后 谢谢你来过
提醒我别忘了那时候 的我

曲 Composed by：小安 词 Lyrics by：阿曼达
制作人 Producer：小安 Andrew Chen (BADTONE PRODUCTION)、林宥嘉Yoga Lin
编曲 Arranger：小安 Andrew Chen (BADTONE PRODUCTION)
电吉他 Electric Guitar：小安 Andrew Chen (BADTONE PRODUCTION)
木吉他 Acoustic Guitar：陈君豪 Howe Chen
钢琴 Piano：张晁毓 Dato Chang
贝斯 Bass：柯遵毓 Jack Ko
鼓 Drums：李达文 Da-Wen Lee
鼓技师 Drum Technical Engineer：余璨宇 Yu-Tsan Yu
节奏组 Percussion：李达文 Da-Wen Lee、柯遵毓 Jack Ko
和声编写 Backing Vocals Arrangement：林宥嘉 Yoga Lin
和声 Backing Vocals：林宥嘉 Yoga Lin
录音师 Recording Engineer：叶育轩 Yu-Hsuan Yeh
录音室 Recording Studio：强力录音室 Mega Force Recording Studio
混音师 Mixing Engineer：林正忠 Jerry Lin
混音室 Mixing Studio：白金录音室 Platinum Studio (Taipei)
制作助理 Production Assistant：吕奇翰 Chris Lu
OP:好感度音乐有限公司 Good Sense Music Service Co., Ltd.
SP:Universal Ms Publ Ltd Taiwan
OP:HIM Music Publishing Inc.
				",林宥嘉,阿曼达,小安,小安,70056,5746
白昼之月MVThe Daylight Moon,今日营业中,"
				再也无法否定这渴望
白昼里的月光
荒芜的城市颓倾的残墙
泪光依然闪亮

我们在人海中飘飘荡荡
寻找相同眼光
投射在彼此眼中的映像
是同一种希望

这是曾受过的伤 不能掩盖不能遗忘
这是坚持的信仰 往最初的方向

越过了时间
越过了终点
越过了无数沧海桑田
只为了
回到你身边
回到爱面前
让一切悲伤都能终结
我们的心闪耀如同白昼之月

我们在人海中飘飘荡荡
寻找相同眼光
投射在彼此眼中的映像
是同一种希望

这是曾受过的伤 不能掩盖不能遗忘
这是坚持的信仰 往最初的方向
?
越过了时间
越过了终点
越过了无数沧海桑田
只为了
回到你身边
回到爱面前
让一切悲伤都能终结? oh

越过了时间
越过了终点
越过了无数沧海桑田
只为了
回到你身边
回到爱面前
让一切悲伤都能终结
我们的心闪耀如同白昼之月

越过了时间
越过了终点
越过了无数沧海桑田
只为了
回到你身边
回到爱面前
让一切悲伤都能终结

我经过
最冷的冬天
最残酷的试炼
都不能让我放弃思念
为了要
回到你身边
回到爱面前
让一切悲伤都能终结
我们的心闪耀如同
我们的心闪耀如同? 白昼之月

曲 Composed by：陈惠婷  词 Lyrics by：陈惠婷
制作人 Producer：韩立康 LiKang Han、林宥嘉 Yoga Lin、林挥斌
编曲 Arranger：韩立康 LiKang Han
吉他：韩立康 LiKang Han
鼓 Drums：林前源
鼓技师 Drum Technical Engineer：余璨宇
贝斯 Bass：方奎棠(方Q)
和声 Chorus：林宥嘉 Yoga Lin
配唱录音室、录音师：强力录音室、陈文骏 AJ Chen
录鼓录音室、录音师：112F Recording Studio、钱炜安 Zen Chien
BASS录音室、录音师：弯的录音室、苏贤纬
混音录音室、混音师：Wooji Studio、黄文萱 Ziya Huang
OP：Big O Music
SP：Sony Music Publishing (Pte) Ltd. Taiwan Branch
				",林宥嘉,陈惠婷,陈惠婷,韩立康,8819,3036
宠儿MV电影《我的蛋男情人》主题曲 / The Loved Ones,今日营业中,"
				包括纷扰 包括星屑
包括断了气 包括坏雨伞
包括月之海 包括碰了雪的指尖

例如思念 例如游牧
例如信天翁 例如地下铁
例如你侧脸 例如末日前的荒田

来到 这一刻 没什么到有什么 都印证我们 是天使的宠儿

不知不觉 beautiful love，beautiful love
开始发觉 不一样了 全不一样了
不是错觉 beautiful love，it’s beautiful love
我凭什么配 能呼吸这一切

还有丁香 还有伤悲
还有被日出划破 的薄雾
还有摇摇欲坠 如歌声渐退的潮水

来到 这一刻 有什么或没有什么 都不碍我们 当天使的宠儿 喔

No no no 你别害怕 风 与晨曦 眷顾你
你生来应该 被温柔对待 
享受全宇宙的宠爱

不知不觉 beautiful love，beautiful love 
终于发觉 beautiful love，beautiful love
不是错觉 beautiful love，it’s beautiful love
你我何其幸运 喔 像这一首歌

曲 Composed by：丁世光 Dean T  词 Lyrics by：陈信延
制作人 Producer：蔡政勋
编曲 Arranger：蔡政勋、田雅欣
钢琴 Piano：蔡政勋
弦乐编写 Strings Arranger：田雅欣
大提琴 Cello：刘涵
小提琴 Violin：蔡曜宇
贝斯 Bass：陈纪烽
录音师 Recording Engineer：蔡政勋
录音室 Recording Studio：浩世录音室
混音师 Mixing Engineer：王俊杰
混音室 Mixing Studio：强力录音室
OP：NEW CHINESE SONGS PUBLISHING LTD.
OP：HIM Music Publishing Inc.
				",林宥嘉,陈信延,丁世光,蔡政勋 / 田雅欣,14280,2435
勿忘你MV电影《深夜食堂2》中文宣传曲 / 《坏与更坏》国语版 / Roots,今日营业中,"
				你 没表情 经过那个褴褛身影
脚步却 微微迟疑
人群中 ?你错开那双黯淡无望的眼睛
突然厌烦下大雨

你 滑过了 最新意外新闻标题
想追剧 却觉得腻?
每当你? 为自己过得不算太坏而庆幸
却总传来个回音

它说勿忘你? 勿忘你
对世界也曾满怀善意
曾经那个你? 未曾远离
就在你的胸口里

已 武装好 练就百毒不侵的你
怎么还 会不忍心?
一看到? 小时候照片那么天真的曾经
总会听见个声音

它说勿忘你 ?勿忘你
曾慷慨分享心爱玩具
童年那个你 ?在提醒你
拯救世界的约定

请你勿忘你? 勿忘你
付出爱也曾毫不犹豫
那温热的你? 并未放弃
你一呼唤就响应
愿你此生永远勿忘你

OT：坏与更坏
曲 Composed by：林家谦 词 Lyrics：施人诚 原词 Original lyrics：黄伟文
制作人 Producer：林宥嘉 Yoga Lin、柯遵毓 Jack Ko、张晁毓
编曲 Arranger：柯遵毓 Jack Ko、张晁毓、林家谦
钢琴 Piano : 林家谦
鼓 Drums：赖圣文 Peter Lai
鼓技师 Drum Technical Engineer：余璨宇 Yu-Tsan Yu
木吉他Acoustic Guitar：钟承洋
贝斯 Bass：简道生 Dawson Chien
Organ：柯遵毓 Jack Ko、张晁毓
铜管编写 Horn Section Arrangement：谢明谚
Trumpet/Flugelhorn：Danny Deysher
Tenor Saxophone：谢明谚
Trombone：邓世伟
和声、和声编写 Chorus & Chorus Arranger ：林宥嘉 Yoga Lin、柯遵毓 Jack Ko
和声 Chorus：林宥嘉 Yoga Lin
录音师 Recording Engineer ：王永钧 （鼓组、Bass、AG)、叶育轩（人声）、杨敏奇（铜管）
录音室 Recording Studio：白金录音室（人声)、强力录音室（Bass/AG/铜管）
混音师 Mixing Engineer ：Craig Burbidge
混音录音室 Mixing Studio：After Shock studio, LA
OP: LYFE Company Ltd. (Warner/Chappell Music, HK Ltd.)
SP: Warner/Chappell Music Taiwan Ltd.
OP：Wyman
SP：Universal Ms Publ Ltd
				",林宥嘉,施人诚,林家谦,柯遵毓 / 张晁毓 / 林家谦,46860,4594
"Off, Do Not Disturb.《飞》Demo",今日营业中,"
				飞demo  

不知不觉还在昨天的温热
快没有借口
谁也不能保留
从此一次悲伤情愿有没有
说明了快乐
于是不再记得
你的快乐你的笑容我记得
剩我一人路边痴痴地拉扯
却让悲伤的我随你透彻
我一定会飞
我不怕将来
就算失落的风要我狼狈醒来
我也不再飞
怕孤单怕遗憾
我不再绚烂
总有一天让我懂得牵绊
有没有一旦放下却还是遗憾
为什么拼了命纠缠
我一定会飞
我不怕将来
就算失落的风要我狼狈醒来
我一定会飞
我不会怕孤单怕失落感慨
就算失落我也不再纠缠
就算失落我也不会感慨
就算失落我也不再等待

曲：林家谦  词：林宥嘉 Yoga Lin、林家谦
OP: LYFE Company Ltd. (Warner/Chappell Music, HK Ltd.)
SP: Warner/Chappell Music Taiwan Ltd.
OP：HIM Music Publishing Inc.
OP: LYFE Company Ltd. (Warner/Chappell Music, HK Ltd.)
SP: Warner/Chappell Music Taiwan Ltd.
混音录音室、混音师Mixed by : Wooji Studio、黄文萱Ziya Huang
TWD951634113
				",林宥嘉,林宥嘉 / 林家谦,林家谦,,3264,1554
天真有邪 (林宥嘉解说版),今日营业中,"
				我已经 不能用单纯 的语气 再唱情歌
虽然表面上 我还是完整 那个我
可是身体?? 有个什么 已被刺破

有一颗 我从小仰望 的星星 悄悄殒落
爱情的神经 以后 一快乐 就难过
会撒谎之前 有句话 再不说

让你 笑过 就没勇气 赤裸～

你可知道 对我做过 什么最残忍
就是你 狠狠把我 一夜之间 变成了大人
奋不顾身 的天～真
瞬间化成 一路走来 的伤痕
我怀念 我的笨

爱～人 你太知道 害一个人 怎样害一生
你在他 干净无菌 主题乐园 加进了坏人
可怜无邪那颗～心
就是这样 不知不觉 变得狠
狠得好歹 不～分

有种 成熟 名叫坠落凡尘～

你可知道 对我做过 什么最残忍
就是你 狠狠把我 一夜之间 变成了大人
奋不顾身 的天～真
瞬间化成 一路走来 的伤痕
我悼念 我的笨

爱～人 你太知道 害一个人 怎样害一生
你在他 干净无菌 主题乐园 加进了坏人
可怜无邪那颗～心
突然明白 自私一点 不过份
胜于为你 自～焚

请～问 好想知道 这个世界 会有什么人
愿意把 第一枝枪 送给未经 污染的灵魂
虽然天地也不仁
若非必要 唤醒防御的本能
能不能等一等

曲 Composed by：林宥嘉 Yoga Lin 词 Lyrics by：黄伟文
制作人 Producer：荒井十一
编曲、弦乐编写 Music & Strings Arranger：赵兆
鼓 Drums：荒井十一
贝斯 Bass：韩阳
钢琴 Piano：赵兆
吉他 Guitar：薛峰
和声编写 Chorus Arranger：林宥嘉 Yoga Lin、荒井十一
和声 Chorus：林宥嘉 Yoga Lin
弦乐 Strings：国际首席爱乐乐团
混音 Mixed by：赵靖 @Big.J Studio
Drums recorded by：李卓 @TweakToneLab Studio, Beijing
Bass recorded by：雷长航 @TweakToneLab Studio, Beijing
Strings recorded by：李巍 @总政录音棚, 北京
Vocal, BV recorded by：倪涵文 @TweakToneLab Studio, Beijing
OP：HIM Music Publishing Inc.
OP：Wyman
SP：Universal Ms Publ Ltd
				",林宥嘉,黄伟文,林宥嘉,赵兆,38503,5101
坏与更坏 (林宥嘉解说版),今日营业中,"
				原来现实 与那 理想总不太同
在谷底 哪有天虹
「捱下去」「别放弃」 日日说金句 证明无用
绝非 鸡汤 那样浓

原来落败百次 也不可黑变红
做妈妈 生出「成功」
谁又够 运气去 任择 各种美满回头路
常餐 得「死」与「病痛」

无论多么坏 好心态
若早知最坏 尚能更坏
凡事都很坏 仍能 愉快
才是崇高境～界

离场或是勉强 结果都一个人
二拣一 都很残忍
明白到 遇上你 尽力 也只配有场遗憾
自选轻伤 更聪敏

无论多么坏 好心态
若早知最坏 尚能更坏
凡事都很坏 仍能 愉快
才是崇高境～界

留下差跟坏 请表态
若不选 你便 任人指派
研习于失败 维持 欢～快
才是崇高境～界
别干等 美丽的新世界

曲 Composed by：林家谦 词 Lyrics by：黄伟文
制作人 Producer：Eric Kwok
配唱制作人 Vocal Producer：Eric Kwok、陈奕迅
编曲 Arranger：张子坚
弦乐 Strings、吉他 Guitars、贝斯 Bass：张子坚
和声、和声编写 Chorus & Chorus Arranger：林宥嘉 Yoga Lin
鼓 Drums：Matt Mc
Trumpet：Martin Fischer
Saxophone：Lorenz Spritzendorfer
Trombone：Markus Hoffmann
Drums and Horns recorded at Onlinesessions Studios, London UK
Engineer：Vinzenz Benjamin
Vocals recorded at Avon studio by Ah Ming
Mixed by Simon Li at Noiz
OP：LYFE Company Ltd. (Warner/Chappell Music, HK Ltd.)
SP：Warner/Chappell Music Taiwan Ltd.
OP：Wyman
SP：Universal Ms Publ Ltd
				",林宥嘉,黄伟文,林家谦,张子坚,2696,1131
热血无赖 (林宥嘉解说版),今日营业中,"
				在天堂跌倒在地狱站起来wo oh oh
不管能不能只问该不该wo oh oh
前景不够坏 热血儿女不爱
有坚持总有这点变态

容忍世界 让你失望
好证明我们 不平凡
容许自己 有点迷惘 非常 正常
难题很难都没有标准答案才 好玩
出路没出来大人就事先张扬 更沮丧
在天堂跌倒在地狱站起来wo oh oh
不管能不能只问该不该wo oh oh
前景不够坏 热血儿女不爱
我们是打不败的无赖
wo oh oh wo oh oh…………

容许幻想 留在梦里
否则怎么会叫梦想
欢迎光临 现实战场 边闯 边想
要不是不满现状谁还会想像 天堂
要不是迷失方向今天还待在 老地方

失败太痛快 起劲地对它说一声Hi
疗伤慢慢来 首先对痛苦说声Bye 比较快

在天堂跌倒在地狱站起来wo oh oh
不管能不能只问该不该wo oh oh
还可以更坏 未来还没出来
我们是赶不走的无赖 wo oh oh wo oh oh …………

曲：JerryC、杨子朴  词：林夕  制作人：JerryC、林宥嘉
编曲：JerryC  吉他：JerryC  Bass：Jack Ko 柯遵毓
鼓：江尚谦  鼓技师：余璨宇
合音：林宥嘉、杨子朴、JerryC  合音编写：林宥嘉、杨子朴、JerryC
录音师：Zen Chien 钱炜安  录音室：112F Recording Studio
混音师：林正忠  混音录音室：白金录音室
OP：尖叫音乐工作室
SP：HIM Music Publishing Inc.
OP：HIM Music Publishing Inc.
OP：Denseline Co. Limited. (Warner/Chappell Music, H.K. Ltd.)
SP：Warner/Chappell Music Taiwan Ltd.
ISRC-TWD-951634104
				",林宥嘉,林夕,JerryC / 杨子朴,JerryC,1752,4316
美妙生活MVThe Wonderful Life,美妙生活,"
				林宥嘉 

 美妙生活

 作词：林夕
 作曲：Roger Joseph Manning.Jr.

 道理好多不够消息嘴巴多 只要热闹不分对错都不错
 朋友好多不够社交网络多 感情丰富泛滥又神出鬼没
 wow 这么美妙的生活 怎么好意思不活 怎么好意思不快活
 wow 这么奇妙的生活 只怕把什么错过 不怕有心情说寂寞

 发明好多不够新鲜玩意多 有的没的都有没机会执著
 新闻好多不够爆笑材料多 随便恶搞一下再恶补洒脱
 wow 这么美妙的生活 怎么好意思不活 怎么好意思不快活
 wow 这么奇妙的生活 只怕把什么错过 不怕有心情说寂寞

 抗议我要抗议没想到抗议什么我想什么变什么就像什么
 比现实更真实平庸剪贴再剪贴到诱惑裸眼看到的美满没话说
 wow 这么美妙的生活 怎么好意思不活 比快活更快的生活
 wow 这么美妙的生活 怎么舍得不去活 活到每天值得直播
 wow 这么美妙的生活 又怎么好意思不活 美就美在不缺什么
 wow 这么美好的生活 还是要好好的活 好就好在不愁寂寞
				",林宥嘉,林夕,Roger Joseph Manning.Jr.,Roger Manning,3168,1086
自然醒MVWake Up,美妙生活,"
				散步纽约街头 快要吻的时候
闪耀你唇上的温柔 怎么忽然变成　电钻钻头

一楼四楼七楼 Stereo大合奏
成年以来一直　睡不够　干嘛休假楼上总有人 装修

一觉～　睡到自然醒过来　不管　这个胡闹时代到底有多坏
只想在潜意识　第六层内　没有心情　不出来
说来～　这个事情也奇怪　只要三步之内有你在
我拳头　就放开　睡得像小孩

有人按错门铃　有人打错电话
有人制造喧哗的八卦
麻烦大家让我静一下　好吗

一觉～　睡到自然醒过来　不管　这个胡闹时代到底有多坏
只想在潜意识　第六层内　没有心情　不出来
说来～　这个事情也奇怪　只要三步之内有你在
我拳头　就放开　睡得像小孩

一觉～　睡到自然醒过来　不管　这个胡闹时代到底有多坏
世界变得再快　是非成败　一旦抱你入怀　置身事外
一觉～　睡到自然醒过来　不管　这个胡闹时代到底有多坏
只想在潜意识　第六层内　没有心情　不出来
说来～　这个事情也奇怪　只要三步之内有你在
防护罩　就张开　睡得像小孩
睡得像小孩 睡得像小孩

最近睡得很坏　最好你搬过来
				",林宥嘉,黄伟文,李拾壹,王治平,35654,2947
想自由MVFreedom,美妙生活,"
				每个人都缺乏什么
我们才会瞬间就不快乐
单纯很难 包袱很多
已经很勇敢 还是难过

许多事情都有选择
只是往往事后我才懂得
情绪很烦 说话很冲
人和人的沟通 有时候没有用

或许只有你 懂得我 所以你没逃脱
一边在泪流 一边紧抱我 小声地说 多么爱我
只有你 懂得我 就像被困住的野兽
在摩天大楼 渴求 自由

一路嗅着追着美梦
爬上屋顶意外跌得好重
不觉得痛 是觉得空
城市的幻影 有千百种

就算爱也会变冷的
可是现在抱的你是暖的
我不晓得 我不舍得
为将来的难测 就放弃这一刻
				",林宥嘉,姚若龙,郑楠,钟兴民,118721,13098
我总是一个人在练习一个人MVI Always Practice Alone,美妙生活,"
				一个人去上班　又一个人去吃饭
再和更多的一个人纠缠
话才说到一半　没有人听完
我不孤单　孤单只是　情绪泛滥

一个人出去逛　又一个人躺在床
这晚有多少的一个人没伴
不够分另一半　爱已经用完
我不孤单　孤单只是　不够果断

我总是一个人在练习一个人
寂寞是脚跟　回忆是凹痕
也没有人见证

我总是一个人在练习一个人
寂寞是脚跟　回忆是凹痕
我一个人共存
没有人在等着一个人
一个人在等着没有人
没有人在等着没有人


Co-producer：林宥嘉
和声编写：林宥嘉
吉他：林宥嘉
和声：林宥嘉
				",林宥嘉,李焯雄,陈小霞,林宥嘉,42444,4075
纪念品A Souvenir,美妙生活,"
				　
床单用来记得昏迷 夹克用来记得零距离
口罩用来记得叹息 什么让我记得爱过你

宝贝的 沦为垃圾 我丢弃的 却被哪个珍惜捧着
舍不得 不如记得

总该记得什么 别说你快忘了我
只好凭身外物证明你浪费过 让我一生 不算白活 喔
过去怎么过 圆的方的尖的
一件件 都不可错过 再逐一抚摸
一件件 百货那么多 堆积如山坡 这当中是否 有你有我 喔
还有什么要送我 喔

盆栽用来记得雾气 手套用来记得雷阵雨
杯具用来记得悲剧 什么让我记得错过你

宝贝的 沦为垃圾 我丢弃的 却被哪个珍惜捧着
舍不得 不如记得

总该记得什么 别说你快忘了我
只好凭身外物证明你浪费过 让我一生 不算白活 喔
过去怎么过 圆的方的尖的
一件件 都不可错过 再逐一抚摸
一件件 百货那么多 堆积如山坡 这当中是否 有你有我 喔
还有什么要送我 还想收到什么
纪念品越来越多 家里空间不多 就装进脑膜 喔

还想记得什么 连我都快忘了我
拾荒的路途中翻出一点线索 拼凑一个 昨天的我 喔
过去怎么过 红的黄的灰的
一件件 怀念里复活 气味和轮廓
一件件 百货那么多 消失如泡沫 这当中是否 少了什么 喔
还有什么要送我 喔


制作人：Skot Suyama 陶山
				",林宥嘉,陈信延,Skot Suyama 陶山,Skot Suyama 陶山,10657,2474
不换Going On My Way,美妙生活,"
				　
光 要眼睛 流的汗 来交换 风 觊觎那双 折不断 的臂弯
温暖 要胸口够宽 才肯留下来 做个伴

是要我多慷慨 才对我宠爱 但心花的灿烂 约好了不换

青春 只有用遗憾 才能够证明 不遗憾
爱 总要被爱 才可以好像 不悲哀

非要我多明白 才给我未来 我血里的澎湃 约好了不换
我愿 献出 自己 只愿 留下 自我

这世界多爽快 什么都能换 可惜我的痛快 什么都不换


制作人：吕祯晃/郭文宗
				",林宥嘉,蓝小邪,王浩,Jerry C,1851,1062
拥有Possession,美妙生活,"
				才不介意你又忽略我
眼睛忙着储存你笑容
你身边那么多爱你的朋友
我哪会遗憾什么

只在乎你偶尔的沉默
耳朵听见有暗潮汹涌
有没有什么心事要对我说
我已等候那么久

快乐时你不用分心想起我
难过时请一定记得联络我
让我分享你的苦 带走你的忧愁
我觉得这样 也算拥有

只在乎你偶尔的沉默
耳朵听见有暗潮汹涌
有没有什么心事要对我说
我已等候那么久

快乐时你不用分心想起我
难过时请一定记得联络我
让我分享你的苦 带走你的忧愁
我就拥有你 一些些什么

快乐时你不用分心想起我
难过时请一定记得联络我
让我分享你的苦 带走你的忧愁
我只求这样 把你拥有
				",林宥嘉,张鹏鹏 / 施人诚,郑楠,陈建骐,14091,2308
早开的晚霞Early Sunset Clouds,美妙生活,"
				天要黑了吗　要告别了吗　能不能多留一下　别管那晚霞
  反正我比你更熟悉那黑暗　没有你陪　我也得回家

  你不舍得吗　你会想念吗　如果想到我会哭　你会心疼吗
  有谁来教我　忘记你的方法　你的笑啊　和你的泪啊　还有血红的晚霞

  所谓的宽容坚强我做不到啊　往后的寂寞年华怎么去消化
  我没有给你翅膀　你为什么要飞翔
  剩我　一个人　听他们劝我　你在　天堂

  不安的手掌　撒娇的模样　你像个天使一样　那么会歌唱
  奇怪我最近　关于你的印象　你的笑啊　和你的泪啊　都好像还没长大



  所谓的宽容坚强我做不到啊　往后的寂寞年华怎么去消化
  我没有给你翅膀　你为什么要飞翔　剩我　一个人　在回忆蹒跚

  天会亮　也会暗　心会跳　会死亡　那时候　的晚霞　才能算　开得　正好

  晚谢的我的黑发在哪里落下　早开的你的夕阳美得不像话
  好端端在我摇篮　流浪到什么天堂　若我　想抱你　要怎么到达

  所谓的宽容坚强我做不到啊　往后的寂寞年华怎么去消化
  我没有给你翅膀　你为什么要飞翔
  剩我　一个人　听他们劝我　你在　天堂
				",林宥嘉,易家扬 / 陈信延,李偲菘,张晁毓,23837,3498
想念MVI Miss You,美妙生活,"
				夜深 忽然想起 那年 年轻的我和你
多少 日子过去 我们 都卷入人海里 还能不能再相遇

笑声眼泪 拥抱离别 这些那些 忽然很想念 想念
从前从前 多久以前 你已忘记 或是也想念 想念

一定有一个什么原因 让我 这时候想起你
你会 知道答案吗 如果 命运竟然同意 我们再相遇

笑声眼泪 拥抱离别 一去不回 只剩下想念 想念
从前从前 多久以前 那样爱过 怎能不想念 想念

那些逝去时光 到底都被藏在哪里
你在哪里 在爱里 或孤单里

笑声眼泪 拥抱离别 那么热烈 但只能想念 想念
从前从前 已经遥远 我真感谢 有你能想念 想念


制作人：王治平
				",林宥嘉,施人诚,叶怀佩,樊哲忠,4278,1081
晚安MVGood Night,美妙生活,"
				天 空白着夜晚 城市一片灯火扰乱
风 吹过看不见的天堂 是谁还在忙碌地追赶
晚安 让记忆松绑 忘掉所有痛苦悲伤
让 所有听不见的呐喊 随着黑夜一起埋葬

月 亮在你心坎 可曾把你的梦点燃
心 疼你每一步的成长 擦干眼泪变得更勇敢
晚安 卸下了翅膀 轻轻打开梦里的窗
路 尽管依然会有阻挡 让我陪你一起飞翔

梦 想去的地方 因为不变所以简单
爱 如果早已经被遗忘 我的歌声不会有伤感
晚安 静静地安躺 躺在可以放心的床
夜 因为有了梦才宽敞 因为有你所以温暖


制作人：王治平/郭文宗
				",林宥嘉,武雄,陈小霞,王治平,27434,3189
