歌名,专辑名,歌词,演唱,作词,作曲,编曲,分享数,评论数
安守本份MV,陈奕迅,"
				曲：吳旭文 词：林夕 编：钟兴民

即使相爱的恋人
如何分担那不幸
日夜伤春悲秋
多么讨厌 讨不到你欢心

天天饰演开心人
原來真需要天份
为着你去表演 笑脸迎人
怎可壮志消沉

为你说身边趣闻
忘记了我的缺憾
难道会流行 失恋怨恨
让你看透 我的伤痕

什么都好不要緊
不伤身不上心
只需安守我本份
得不到亲热感
都不可伤情感
能娛乐你太好运
什么都忍不要緊
不伤身都上心
怎可安守我本份
得不到溫柔感
只得到感情分
仍然換不到热吻

即使相爱不可能
仍能相亲太僥幸
但愿我那逼真 笑脸迎人
可吸引你光临

****孤独探戈****
				",陈奕迅,林夕,吴旭文,钟兴民,315,55
"爱情, 幼稚!",陈奕迅,"
				刻骨铭心的 原来留在身边不会愉快
使我愉快的 原来是我过去敷衍过的
一天一天踌躇 一点一点部署
最爱最终留不住
即使多么在乎 不等于可相处
花光心血仍难被记住

其实爱情幼稚
难道再没更重要的事
难道眼泪会比苦笑容易
谁造爱情故事
谁又领会背后那真义
难道创造我的比我无知

仿佛冥冥中 全情投入一般不会共对
一世共对的 常常是那身边的小角色
必须潇洒自如 必须懂得共处
爱意也许留得住
不紧张不在乎 方可一生相处
心惊胆颤常常是偶遇

其实爱情幼稚
难道再没更重要的事
难道眼泪会比苦笑容易
谁造爱情故事
谁又证实世上有这种事
难道创造我的比我无知
				",陈奕迅,林夕,李伟菘,黄丹仪,1009,168
从未痴心,陈奕迅,"
				无边星星早入睡　剩我独对夜垂　朦胧夜空星似泪
翻开心中篇篇旧事　每段对白每个字
然而没伤感　然而没怨愤　然而没有再痴心

星星编织比翼梦　月老逐个作弄　情人难得心应共
怎么当初刻骨旧事　又像再没有意义
为何没伤感　为何没怨愤　为何没有再痴心

愿再想想从前　如何被你那夜　牵动我心千缕情
情若涛涌似无从断　今天意不眷恋　不心酸也没怨

当天分手非自愿　但你话爱已断　长帏独守空抱倦
今天心境不复乱　静静看逝世片段
从来未伤感　从来未怨愤　从来未对你痴心

但脑海意仍然　怀念你那夜　牵动我心千缕情
情若涛涌似无从断　偏经不起变迁

思忆你我从前　曾用真心相牵　让爱丝一线连
不相信可切断　为何情义半点不再见
				",陈奕迅,罗士衡,何子明,Ted Lo,101,32
其实我记得MV,陈奕迅,"
				男：伤感的眼泪
从来未属我
像往昔一样
我每天好好的过
女：分手这结果
真的有痛心过
伴我走只得我
原来亦没不可
女：　是逝去那些经历　
改变著我
男：　并没有那一方　
是对跟错
女：你眼睛温柔过
男：梦与想再飘过　 
飞出天空唱我的歌（女：　欣赏再次自在一个）
合：其实我记得　
曾被爱的感觉　
相拥亲吻路上唱和
你我亦那么傻　
而其实我记得
男：曾承诺过这么多（女：当初的许多经过）
合：当天都也认真过　
没有谁能像我们清楚 　
曾这么珍惜过
男：当天的故地　
无言又路过　
与友好今夜　
谈话中可讲起我
女：心底的痛楚　
光阴再擦洗过　
你会否想起我　
仍怀念著当初
女：是逝去那些经历　
改变著我
男：并没有那一方　
是对跟错
女：你眼睛温柔过
男：梦与想再飘过　 
飞出天空唱我的歌（女：　欣赏再次自在一个）
合：其实我记得　
曾被爱的感觉　
相拥亲吻路上唱和
你我亦那么傻　
而其实我记得
男：曾承诺过这么多（女：　当初的许多经过）
合：当天都也认真过　
没有谁能像你谅解我
music　
合：其实我记得　
曾被爱的感觉　
相拥亲吻路上唱和
你我亦那么傻　
而其实我记得
男：曾承诺过这么多（女：　当初的许多经过）
合：当天都也认真过　
让过程留在我们心窝
合：其实我记得　
曾被爱的感觉　
相拥亲吻路上唱和
你我亦那么傻　
而其实我记得
				",陈奕迅,张美贤,江港生,Terry Chan,1754,294
当心中有恋爱感觉,陈奕迅,"
				​多少天孤单已渐成习惯
心头愁绪淡然弥漫
初相识不敢盼望还是盼
相逢仍未太晚
也许人极简单
想开心谁嫌平淡
或许热爱空泛
稚嫩情怀不可再返
喜欢你却在瞬间
如寻获一生的快乐
心中有这直觉
感激你靠近全情付托
谁人又比我更执著
当心里有恋爱感觉
多少天思想你渐成习惯
心头流过热情无限
可相识方知世上缘未散
相逢从未太晚
也许人极简单
想开心谁嫌平淡
或许热爱空泛
稚嫩情怀不可再返
喜欢你却在瞬间
如寻获一生的快乐
心中有这直觉
感激你靠近全情付托
谁人又比我更执著
当心里有恋爱感觉
曾在某夜窗前
想你万遍 彻夜失眠
迷乱却又心甜 紧闭著眼
仍是你出现
如寻获一生的快乐
心中有这直觉
感激你靠近全情付托
谁人又比我更执著
当心里有恋爱感觉
MY LOVE~

By Yanloci
				",陈奕迅,张美贤,松本俊明,江港生,261,48
"今天只做一件事 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				发觉这世界永远太少空间
因此花一天支配一切时间
发觉这世界永远太嘥心机
因此花一天思索一切道理

消失太快 捉得到太少
因此花一天感觉一切是爱
茫茫人海 或有几多漂泊与淹盖
人人寻找爱 或有几多争斗与比赛
越觉得剩低几多未变的爱

慢慢地合作新诗
静静地同床午睡
再发现岁月换来几次厌闷几多亲爱
有各样劫灾 和充满意外
因此我要努力继续能恋爱

慢慢地迈向听朝
静静地怀念昨日
再决定今天只要相信爱
叫皱纹散开 唤青春归来
因此我喜欢花一天感觉一切是爱



发觉这世界永远太少深刻
因此花一天改变一切习惯
发觉这世界永远太多跷蹊
因此花一天拥有一切运气

消失太快 捉得到太少
因此花一天感觉一切是爱
茫茫人海 或有几多漂泊与淹盖
人人寻找爱 或有几多争斗与比赛
越觉得剩低几多未变的爱

慢慢地合唱K歌
静静地同游网上
再发现岁月换来几次厌闷几多亲爱
有各样劫灾 和充满意外
因此我要努力继续能恋爱

慢慢地迈向听朝
静静地怀念昨日
再决定今天只要相信爱
叫皱纹散开 唤青春归来
因此我喜欢花一天感觉一切是爱

喜欢花一天跟你一切是爱
				",陈奕迅,周耀辉,Joey Tang/舒文,,701,103
"花花世界 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				花花世界

作词：周礼茂
作曲：Ben Cheung
编曲：Ben Cheung

樱 一出世便由命
渐活到花全盛
一刹 惊醒 息间要重认

后悔不珍惜 因康乃馨的爱
再精彩 今生不可再
离开 还留下冀待

丁香丹桂茉莉 都觉得可爱
谁终于会成为最爱

最爱花 花光一刻当下
花光 却未明辨真假
不只有时间该可怕
怒放心花 多一晚尽情吧
但已仓卒地留下疮疤
不敢再大嘴巴

响 花钟一响再响
就像记忆嘹亮
加倍 紧张 欣喜似狂想

望见小娃娃 一转眼间花嫁
教妈妈 痛哭心中挂
玫瑰 沿路在撒下

花瓣飞舞让爱永延续下来
人间的爱来自最爱

最爱花 花光一刻当下
即使已渐明辨真假
开始觉时间不可怕
盛放烟花 烧起了热诚吧
大半生过尽无限关卡
珍惜每日怎跨

老眼昏花 清楚笑望余下
活每一秒亦流丽潇洒
潇洒阔别 花花 世界
				",陈奕迅,周礼茂,Ben Cheung,Ben Cheung,129,53
"Life Goes On (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				离开喧哗的城市这阙歌衬托出色往事
琴声天天呼唤我边唱边走照哼 re do la

雪白变得淡黄那是晚空月光
从简单中看迷茫

同行在这客套城堡
有喜总有悲人海中飘泊
徘徊在这狭窄长梯
有高总有低如不懂心计
能珍惜一切

回家一刻哼着唱经典金曲挂口边细尝
如果一天失落了伤过的他更懂得快乐

雪白变得淡黄那是晚空月光
连简单中看迷茫

同行在这客套城堡
有喜总有悲人海中飘泊
徘徊在这狭窄长梯
有高总有低如不懂心计
能得到更多

留在这客套城堡
有悲总有喜人不要自危
随时代走也是用这双手
再辛苦也好亦不要淡忘
自己的功过

不要淡忘
				",陈奕迅,dash,孙伟明,,238,36
"每一个明天 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				每一个明天  (live版)  -  陈奕迅
词：林振强
曲：柳重言
结伴创将来多么的美
你的路  我的途  再也不分己与彼
有浪有风来不舍不弃
每一明天也赠你
未懂占卜  也不懂命理
却可先知我们  同步注定了不起
令我不普通  变得坚毅无忌
幕后有一个最大原因  因为你
每望向将来都找到你
我所梦  我所期  全部喝彩因你起
你是我将来不舍不弃
我的明天创自你
没仰天观星  看星宿日记
无问狮子双鱼  前面有没有惊喜
一早知  几多风吹雨飞
活着也很快乐自寻到你
天佑我的爱人
给她永远笑声并尝对她偏爱
天佑我的爱人
有她不再觉得生命无奈  敢爱
未懂占卜  也不懂命理
却可先知我们  同步注定了不起
若我不普通  变得坚毅无忌
并没秘方这是纯因你
天佑我的爱人
这日明天一世把她宠爱
天佑我的爱人
有她不再觉得生命无奈  敢爱
天佑我的爱人
这日明天一世把她宠爱
天佑我的爱人
有她不再觉得生命无奈  敢爱
你是我将来不舍不弃
每一明天爱着你
拉风牛牛      制作
				",陈奕迅,,,,1340,100
"美满人生 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				美满人生  (live版)  -  陈奕迅
词：林夕
曲：林慕德
接过吻的敬礼  见过最美玫瑰
更试过失去再得到那种快慰
有最冷的雨季  也有最暖盛世
更有抱不到放得开的智慧
甜蜜过  开过心  不必一切圆满
能合格  早已经  意足心满
有确信的信仰  有眼界去梦想
也有去不很到却希冀的去向
要笑有方法笑  要奋斗有目标
已有这一切也都真正需要
期望过都有了
Perfect  Life
Perfect  Life
Perfect  Life
爱上了一个你  也爱半个自己
老了有足够记忆给我紧记
信你已经最美  也信我够运气
有兴致等那意想不到的结尾
能遇上  肯放弃
Perfect  Life
Perfect  Life
Perfect  Life
Perfect  Life
Perfect  Life
Perfect  Life
Perfect  Life
接过吻的敬礼  见过最美玫瑰
更试过失去再得到那种快慰
有最冷的雨季  也有最暖盛世
更有抱不到放得开的智慧
甜蜜过  开过心  不必一切圆满
能合格  早已经  意足心满
Perfect  Life
Perfect  Life
Perfect  Life
Perfect  Life
最美满  最美满  差一点不必不满
够美满  够美满  对与错通都一半
够美满  够美满  差一点不必不满
最美满  最美满  对与错通都一半
够美满  够美满  差一点不必不满
最美满  最美满  差一点不必不满
拉风牛牛    制作
				",陈奕迅,林夕,林慕德,,259,44
"Welcome To The Future (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				Fly....
Dreaming....

We ride the wings of time
To our future we will fly
Higher and higher now
Our love take us higher now

Fly....
Dreaming....
Waking....
Higher now....

We ride the wings of time
To our future we will fly
Higher and higher now
Our love take us higher now

Close your eyes
Fly with me
Higher now....
				",陈奕迅,John Laudon,John Laudon,John Laudon,72,37
"时代巨轮 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				停不低地计划 停不低地建立
BB班便每日疑惑
惊心动魄 背影给践踏

流水式做马达 流水式念对白
零空间为岁月留白
一天路程 太多的抉择

长袖或背心 零食或正餐
护理跟拆烂 娱乐或上班
前行还是转弯 犹豫停顿瞬间
明日已经到站

常期望安定 还期望即兴
无崖地唱唱唱唱我恐怕
毕竟这是我的宿命
无能力修正
无能力嗌嗌嗌嗌嗌停

一开始诞下已经苍老
一开始拍翼已追不到
当骨牌泻下已知道
天天迫我上路 天天迫我进步
难避免卷入时代太恐怖

离别或结婚 和睦或竞争
问我怎去办 停下或转弯
无奈骤眼间 城门便已关
时代快反应慢

无止境地角逐 无止境换节目
肥皂剧日与夜延续
参演下去 哪一天结局

我 想好好抉择
好想嗌暂停想一想哪样过
怕 想一想以后
身边观众便离座
				",陈奕迅,林若宁,郭伟亮 / 孙伟明,郭伟亮,266,73
"大人 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				大人(live版)  -  陈奕迅
词：陈咏谦
曲：Eric  Kwok
普罗大众  过了十八膊头开始重
追求大勇  勇到廿八膊头开始痛
得到一些钞票  赚不到几多欢笑
又彷佛听到心跳  弱了  yeah
呕心搞些搞作  但青春都给挥霍
何不开心吹吹那号角  (人本来要吃喝)
请变大快乐气氛
尖叫吧你是人  (人本来要发作)
这责任你亦有份
请发现你是人  (人本来要探索)
当人大了  你有没有哈哈哈哈笑
一场玩笑  我笑着说  你未必想笑
得到张身分证  但得到几多尊敬
随身的东西不够做证  hey
听到很多歪理  大家都一於少理
事不关己不肯费力气  (宁愿拿去放屁)
请变大快乐气氛
尖叫吧你是人  (人本来要发作)
这责任你亦有份
请发现你是人  (人本来要探索)
你是人  我也是人
当天你变大我  (人一直变变变)
我是人  你也是人
今天我变大你
当人大了  反抗渺小
当人大了  知有不妙
当童话了  惨被揭晓
我仍然是会大笑大叫大跳
为了  快乐当治疗
Yeah...  谁等着世界变
Wow...  谁等着变世界
你是人  我也是人
当天你变大我  (人一直变变变)
我是人  你也是人
今天我变大你  (人一直变变变)
拉风牛牛  制作
				",陈奕迅,陈咏谦,郭伟亮,,45,12
"碌卡 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				碌卡 - 陈奕迅 
 作词：陈咏谦 作曲：Eric Kwok 、Jerald 
 珍惜 亲戚 老友 与旧同学 
 即管 千方 百计 策动娱乐 
 彼此 饮饱 吃醉 看着屏幕 
 东拉 西扯 口吃的我跟你讲 
 亲疏 真假 你我 哪样量度 
 赏面 撑腰 接济 兑现承诺 
 炒股 供楼 世界 过份凉薄 
 伸出 手板 眨眼的我想你帮 
 人人负债 
 轻轻松松的欠下人情巨债 
 嘻嘻哈哈花光信用何其愉快 
 位位手执一副牌 
 靠友谊之光放大 
 碌卡 要抱住 最大期望 
 碌卡 尴尬亦 切忌流汗 
 碌卡 过两日 我就还 
 还完又系老友鬼鬼 
 碌卡 (无内疚) 要抱住 最大期望 
 碌卡 (无自责) 尴尬亦 切忌流汗 
 碌卡 (零利率) 过两日 我就还 
 还完又系你个死党 碌卡 
 新婚 摆酒 送我 贵重财物 
 开张 剪彩 替我 叫大人物 
 升职 加薪 教我 约会尤物 
 急需 帮手 可献金也可献身 
 人人负债 
 轻轻松松的欠下人情巨债 
 嘻嘻哈哈花光信用何其愉快 
 位位手执一副牌 
 靠友谊之光放大 
 碌卡 (无内疚) 要抱住 最大期望 
 碌卡 (无自责) 尴尬亦 切忌流汗 
 碌卡 (零利率) 过两日 我就还 
 还完又系你个死党 碌卡 
 碌卡 
 一身 卡数 无坏 继续 
 人人负债 
 轻轻松松的欠下人情巨债 
 嘻嘻哈哈花光信用何其愉快 
 位位手执一副牌 
 靠友谊之光放大 
 碌卡 (无内疚) 要抱住 最大期望 
 碌卡 (无自责) 尴尬亦 切忌流汗 
 碌卡 (零利率) 过两日 我就还 
 还完又系老友鬼鬼 
 碌碌 要抱住 最大期望 
 卡卡 尴尬亦 切忌流汗 
 卡碌 过两日 我实还 
 还完咪又见我猛咁碌
				",陈奕迅,陈咏谦,Eric Kwok / Jerald,Swing,59,17
"Stranger Under My Skin (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				[ti:Stranger Under My Skin]
[ar:陈奕迅]
[al:Stranger Under My Skin]
陈奕迅-Stranger Under My Skin


Love is a mystery to me
She was once here
and now she's someone
that I could not bear
No matter how I tried
 'll the day I died
Damages are done 
and hidden within

Those were the thing 
that were hidden under my skin

日 晒在眉梢 夜 染在唇角
即使可素脸 可找到替身
继续 渴望年轻 并 渴望前看
往事没言语 在皮下呼吸

要到哪里 会碰不到故 人
要在哪片大镜中发现我没有遗憾
从没有抛不开的一种吻
难以过去的叫灵魂
能藏下多少的亲爱 
想不到哪段最吸引
在大笑后哭泣 熟悉过然后陌生
但并未陌路 在皮肤碰面 是皱纹

All the burning roses
Filled up with ashes
Crying out loud 
but no time for condolences
Like a stranger's 'stare'
she never cared

Those were the thing 
that were hidden under my skin

愿 快乐如一 若 美丽残缺
岁月极微细 从皮上渗入
要到哪里 见每一个故人
要在哪片大镜中炫耀我没法再生
从没有抛不开的一种吻
难以过去的叫灵魂
能藏下多少的亲爱 
想不到哪段最吸引
在大笑后哭泣 熟悉过然后陌生
但并未陌路 在皮肤碰面 是皱纹

从没有抛不开的一种吻
谁已老去都有灵魂
能藏下多少的相信 
可相信以后更吸引
未做到亦一生 或者我才是陌生
但并未陌路 在皮肤碰面 是皱纹

Drifing alone on my own

Be it a car or a shooting star
Its glare finally 
came to the end of something
I could not bear

Those were the thing 
that were hidden under my skin
				",陈奕迅,周耀辉,古驰、罗永业、舒文,,210,53
"幸福摩天轮 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				幸福摩天轮 陈奕迅 
 曲:Eric Kwok 词:林夕 编:刘祖德 
 追追赶赶 高高低低 
 深呼吸然后与你执手相随 
 甜蜜中不再畏高 
 可这样跟你荡来荡去 无畏无惧 
 天荒地老流连在摩天轮 
 在高处凝望世界流动 
 失落之处仍然会笑着哭 
 人间的跌荡 默默迎送 
 当生命似流连在摩天轮 
 幸福处随时吻到星空 
 惊栗之处仍能与你互拥 
 彷佛游戏之中 忘掉轻重 
 追追赶赶 高高低低 
 惊险的程度叫畏高者昏迷 
 凭什么不怕跌低 
 多侥幸跟你共同面对 
 时间流逝 
 东歪西倒 忽高忽低 
 心惊与胆战去建立这亲厚关系 
 沿途就算意外脱轨 
 多得你 陪我摇曳 
 天荒地老流连在摩天轮 
 在高处凝望世界流动 
 失落之处仍然会笑着哭 
 人间的跌荡 默默迎送 
 当生命似流连在摩天轮 
 幸福处随时吻到星空 
 惊栗之处仍能与你互拥 
 彷佛游戏之中 忘掉轻重 
 music 
 天荒地老流连在摩天轮 
 在高处凝望世界流动 
 失落之处仍然会笑着哭 
 人间的跌荡 默默迎送 
 当生命似流连在摩天轮 
 幸福处随时吻到星空 
 惊栗之处仍能与你互拥 
 彷佛游戏之中 忘掉轻重 
 End 
 End
				",陈奕迅,,,,177,37
"信任 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				信任  -  陈奕迅
词：  小克
曲：  Eric  Kwok  /  Jerald
监制：  Swing  /  Eason  Chan
你无谓迫我  打开刚才那一版
早前便讲过  旧友聚餐
你擒住不放  相中痴缠那一挽
平凡活动社交也要防范
.
肯相信我未  肯体恤我未
双方要靠信任还是放饵
请相信我  请珍惜我
为何总不留余地
.
你无谓偷看  手机中号码一闪
似邮和短讯  逐个查验
我门外经过  紧张得像过安检
怀疑令实相会更快呈现
.
肯相信我未  肯体恤我未
双方要靠信任还是放饵
请相信我  请珍惜我
谣言没半点道理
.
讲真厅中那扩音机
奢侈价格不菲
而我施展过  只此一次  谎言绝技
只不过是  一点怕事
撕走价钱  不讲你知
不想有象徵式意义
成为你戒示
终于肯相信我未  肯体恤我未
双方要靠信任还是放饵
请相信我  请珍惜我
谣言是与非  瞎猜了还忌
肯相信我未  肯体恤我未
怎么砸破信任才是胜利
请相信我  请珍惜我
来年多点人情味
				",陈奕迅,小克,Eric Kwok / Jerald,,209,34
"时光倒流二十年 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				时光倒流二十年 - 陈奕迅 
 童年你与谁渡过 
 圣诗班中唱的歌 
 再哼一哼可以么 
 当时谁与你排着坐 
 白色恤衫灰裤子 
 再穿一穿可以么 
 遗憾我当时年纪不可亲手拥抱你欣赏 
 童年便相识 
 余下日子多闪几倍光 
 谁让我倒流时光一起亲身跟你去分享 
 能留下印象 
 阅览你家中每道墙 
 拿着你歌书 
 与你合唱 
 从前你与谁路过 
 逛的公园有几多 
 再走一走可以么 
 当时谁对你凝望过 
 是否真的比我多 
 再演一演可以么 
 遗憾我当时年纪不可亲手拥抱你欣赏 
 童年便相识 
 余下日子多闪几倍光 
 谁让我倒流时光一起亲身跟你去分享 
 遗憾印象 
 没有你家中那面墙 
 拿着你相簿 
 从前拍过的相 
 多么妒忌你昨日同过的窗 
 早些看着你美丽模样 
 对你天真的赞赏 
 遗憾我当时年纪不可亲手拥抱你欣赏 
 童年便相识 
 余下日子多闪几倍光 
 谁让我倒流时光一起亲身跟你去分享 
 遗憾印象 
 没有你家中那面墙 
 拿着你相簿 
 从头细看 
 你六岁当天 
 已是我偶像
				",陈奕迅,林夕,伍乐城,伍乐城,1760,166
"夕阳无限好 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				夕阳无限好

作词：林夕
作曲：Eric Kwok
编曲：Eric Kwok

多经典的歌后   一刹眼已走
缠绵着青葱的山丘   转眼变蚁丘
这个刹那宇宙   拒绝永久
世事无常还是   未看够   还未看透

多好玩的东西   早晚会放低
从前并肩的好兄弟   可会撑到底
爱侣爱到一个地步   便另觅安慰
枉当初苦苦送礼   最艳的花卉   最后化烂泥

夕阳无限好   天色已黄昏
本想去凭爱   去换最灿烂一生
想不到长吻   带来更永恒伤感
夕阳无限好   却是近黄昏
高峰的快感   刹那失陷
风花雪月不肯等人    要献便献吻

多风光的海岛    一秒变废土
长存在心底的倾慕   一秒够细数
每秒每晚彷似大盗   偷走的青春   一天天变老
只可追忆到   想追追不到

夕阳无限好   天色已黄昏
本想去凭爱   去换最灿烂一生
想不到长吻   带来更永恒伤感
夕阳无限好   却是近黄昏
高峰的快感   刹那失陷
风花雪月不肯等人   要献便献吻

好风景多的是   夕阳平常事
然而每天眼见的   永远不相似
				",陈奕迅,林夕,Eric Kwok,Eric Kwok,265,72
"今日 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				<今日> 
 专辑:《天佑爱人》 
 今日事情如不顺　今日问题如不尽 
 像处圈中圈　了断也了不断 
 若今日你倦了颓然哭　容许我送赠暖 
 准我漫漫长路末端亦如初恋 
 当日热情燃不尽　今日热情仍不尽 
 就算怎都好　你愿我更加愿 
 共跨尽冷及暖甜和酸　才可以算是共存 
 能共患难才是认真的有缘 
 抬头吧相信爱你便能飞 
 敢交出你会创出传奇 
 变幻人生是避无可避 
 却没人可驱使爱别离 
 抬头吧黑暗过会是晨曦 
 怀著乐观总有转机 
 今天珍惜今天　逢凝望我心所爱的你 
 我已彷佛会飞 
 今日像明日一样　今日任何日一样 
 就算怎辛酸　爱护你我甘愿 
 没拣择冷或暖甜和酸　晴天雨季缺或圆 
 全部受落才是活得真正全 
 抬头吧相信爱你便能飞 
 敢交出你会创出传奇 
 变幻人生是避无可避 
 却没人可驱使爱别离 
 抬头吧黑暗过会是晨曦 
 怀著乐观总有转机 
 今天珍惜今天　逢凝望我心所爱的你 
 能敖翔天和地 
 抬头吧相信爱你便能飞 
 敢交出你会创出传奇 
 变幻人生是避无可避 
 这份情爱却永不会死 
 抬头吧黑暗过会是晨曦 
 怀著乐观总有转机 
 今天珍惜今天　逢凝望我心所爱的你 
 我已彷佛会飞 
 你眼睛牵我飞 
 编辑人-Jason 
 编辑人-Jason
				",陈奕迅,林振强,柳重言,,2060,163
"我的快乐时代 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				我的快乐时代

作词：林夕
作曲：林健华
编曲：林健华

让我有个美满旅程
让我记着有多高兴
让我有勇气去喊停
没有结局也可即兴

难堪的不想
只想痛快事情
时间尚早
别张开眼睛

长路漫漫是如何走过
宁愿让乐极忘形的我
离时代远远
没人间烟火
毫无代价唱最幸福的歌

让我对这世界好奇
让我信自己的真理
让我有个永远假期
让我渴睡也可嬉戏

从今天开始
相识当作别离
时间就似活多一世纪

长路漫漫是如何走过
宁愿让乐极忘形的我
离时代远远
没人间烟火
毫无代价唱最幸福的歌
愿我可

无论日夜是如何经过
宁愿在极乐当中的我
沉迷或放弃亦无可不可
毫无代价唱最幸福的歌
愿我可

唯求在某次尽情欢乐过
时间够了
时针偏偏出了错
				",陈奕迅,林夕,林健华,林健华,1085,94
"天下无双 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				天下无双  -  陈奕迅
词：林振强
曲：  柳重言
给我信心  当我未如愿
披雨戴风问寒送我暖
亲切眼光  舒我乱和倦
从无更改心照总不宣
长长路中  走到那里生命里
有你我方找到生存来源
难行日子  不屑我对生命眷恋
因有着你  跟我一起  亲爱的你
一次也不  推说乱和倦
一次也都未曾去计算
给了再给  始了便无断
无条件分担各种辛酸
从前没讲  今次要说多谢你
我有你给的爱因而完全
谁人是我  心里至爱生命至尊
都也是你  真了不起  亲爱的你
若问世界谁无双
会令昨天明天也闪亮
定是答  你从无双
多么感激竟然有一双我俩
从前没讲  今次要说多谢你
我有你给的爱因而完全
谁人是我  心里至爱生命至尊
都也是你  真了不起  亲爱的你
若问世界谁无双
会令昨天明天也闪亮
定是答  你从无双
多么感激竟然有一双我俩
一世庆祝  整个地球上
亿个背影但和你碰上
想说你知  整个地球上
无人可使我更想
奔向
				",陈奕迅,,,,981,110
"与我常在 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				与我常在

作词：林夕
作曲：林健华
编曲：Lom Leber

在一起看每出戏   在一起叹每口气
再细尝   同偕到老的况味
每分钟也抱紧你   没有一秒共你别离
还携手看着生与死

坐着卧着都分享   日日夜夜   也为彼此设想
站着望着都分享   就在梦内发掘这真相

除非你是我   才可与我常在
一个人   从镜内发展恩爱
除非你是我   才可昼夜同在
恋不来   从厌倦里面   偷取恨爱

在一起与你工作   在一起与你摸索
两个人   同时占有的快乐
每分钟与你挥霍   没有一秒没我在旁
还携手看着天空黑与光

坐着卧着都分享   日日夜夜   也为彼此设想
站着望着都分享   就在梦内发掘这真相

除非你是我   才可与我常在
一个人   从镜内发展恩爱
除非你是我   才可昼夜同在
恋不来   从厌倦里面   偷取恨爱

除非你是我   才可与我常在
一个人   从镜内发展恩爱
除非你是我   才可昼夜同在
恋不来   从厌倦里面   偷取恨爱

除非你是我   才可与我常在
一个人   从镜内发展恩爱
除非你是我   才可昼夜同在
恋不来   从厌倦里面   偷取恨爱

在一起会有多美
在一起也会不美
一个人   同偕到老   不靠运气
				",陈奕迅,林夕,林健华,Lom Leber,1331,133
"床头床尾 (Live In Hong Kong, 2013)",Eason's Life 陈奕迅2013演唱会,"
				固执的一对 渐发现 各自也不对 被窝中
转身心交瘁 互建情绪 敌对堡垒

徐徐入眠沉睡 徐徐入眠没眼泪
床头任何疑虑 一觉苏醒了
混和 床尾丝丝发堆

对不起一句 没记仇 隔夜 已不再追
被窝中 转身找依据 互送怀抱 换个焦距

徐徐入眠沉睡 徐徐入眠没眼泪
床头任何疑虑 一觉苏醒了
混和 床尾丝丝发堆

再苍老几岁 病榻上 结伴仰首太虚
爱涌进对方的骨髓 互吻微笑 目送他去

徐徐入眠沉睡 徐徐入眠没眼泪
床头任何疑虑 一觉苏醒了
混和 床尾丝丝发堆

灵魂但求重聚 灵魂淡然没恐惧
潮流内人疲累 一觉苏醒了
蓦然 回看不想再追

两夫妇怎相对 暴雨横过后变细水
再蒸发 变轻烟一缕
幻化云雨 在被窝里
				",陈奕迅,小克,陈奕迅,C. Y. Kong,499,69
